#{"t_start": 1707304150.1163971, "env_id": "Swimmer-v4"}
r,l,t
5.219326,1000,0.837369
-1.332724,1000,1.564658
17.567088,1000,3.853634
4.190451,1000,4.609498
28.068873,1000,6.505737
10.21384,1000,7.277027
16.915404,1000,9.591905
20.175242,1000,10.328201
31.034764,1000,12.24857
16.291443,1000,12.982431
20.481541,1000,15.253908
21.214022,1000,16.022003
25.365132,1000,17.950288
22.56383,1000,18.68487
23.581285,1000,20.569165
22.090439,1000,21.315193
23.228856,1000,23.295095
22.498238,1000,24.077137
27.658475,1000,26.0461
34.905327,1000,26.79488
29.282609,1000,28.725848
28.419522,1000,29.484802
31.208866,1000,31.331022
32.998104,1000,32.094165
30.858256,1000,33.968778
26.366458,1000,34.715385
31.944466,1000,36.565704
26.306773,1000,37.327264
27.856069,1000,39.24985
30.140744,1000,40.0153
33.377003,1000,41.865423
29.895565,1000,42.627448
30.626467,1000,44.481385
32.025061,1000,45.256204
31.257148,1000,47.103343
24.369229,1000,47.879117
36.363324,1000,49.76451
31.062063,1000,50.541312
35.311251,1000,52.56838
35.112026,1000,53.358629
34.938534,1000,55.219424
42.503978,1000,56.013777
34.635076,1000,56.732963
37.216372,1000,58.635187
38.771803,1000,59.362535
30.520051,1000,61.367988
31.32509,1000,62.180515
38.504073,1000,64.087491
33.674258,1000,64.812985
36.543407,1000,66.704412
39.481509,1000,67.541686
34.983202,1000,69.672667
35.361154,1000,70.617471
34.505317,1000,73.070544
34.6391,1000,73.928769
37.491971,1000,76.237648
41.621336,1000,77.040239
41.101985,1000,79.338493
39.003444,1000,80.127301
37.09737,1000,82.071095
42.741383,1000,82.819037
32.700735,1000,84.717508
39.929174,1000,85.470967
40.367442,1000,87.405514
35.412382,1000,88.199621
40.391724,1000,90.083583
38.40145,1000,90.823042
41.129932,1000,92.825166
36.655141,1000,93.596958
35.45759,1000,95.456879
42.71279,1000,96.21054
39.990426,1000,98.223134
40.296693,1000,98.990778
38.466889,1000,100.847046
39.769408,1000,101.696191
39.883968,1000,103.769592
41.723553,1000,104.639183
42.102708,1000,106.680658
39.66274,1000,107.471255
42.570131,1000,109.353801
40.140605,1000,110.233489
37.88949,1000,112.273641
43.526914,1000,113.193438
41.525188,1000,115.487706
41.303522,1000,116.417764
40.900981,1000,117.191801
41.80592,1000,119.138695
40.678356,1000,119.861044
42.196465,1000,121.764331
42.876254,1000,122.499723
42.064501,1000,124.444899
40.236158,1000,125.171689
39.905242,1000,127.104385
39.661714,1000,127.855489
34.33265,1000,129.779688
37.597271,1000,130.543334
39.689731,1000,132.635159
37.952752,1000,133.445365
40.386222,1000,135.529307
42.727314,1000,136.278499
41.042981,1000,138.239793
36.859239,1000,139.080644
39.152152,1000,141.056153
34.638298,1000,141.823694
36.547534,1000,143.748488
40.23302,1000,144.506191
43.384373,1000,146.449581
40.878091,1000,147.218732
43.149785,1000,149.157239
44.266055,1000,149.937017
43.872192,1000,151.883323
42.92679,1000,152.735774
42.831503,1000,154.711354
40.714485,1000,155.521148
42.100062,1000,157.551469
44.137668,1000,158.437732
41.9355,1000,160.741855
23.309638,1000,161.621389
45.835358,1000,163.377839
45.265859,1000,164.13471
43.121609,1000,165.841899
43.048875,1000,166.58217
44.74625,1000,168.690673
45.976214,1000,169.596098
42.394476,1000,171.791567
45.209945,1000,172.674118
45.240731,1000,174.743469
41.684616,1000,175.64591
45.542568,1000,176.506196
44.559074,1000,178.686033
41.702089,1000,179.564967
28.894058,1000,181.898081
46.17153,1000,182.750841
43.696293,1000,184.933166
38.167352,1000,185.888558
45.822808,1000,188.291191
42.747448,1000,189.468232
40.660121,1000,191.83256
48.404675,1000,192.777142
48.444327,1000,195.338001
47.817074,1000,196.273278
45.514167,1000,198.830047
46.339927,1000,199.83692
48.551623,1000,202.293426
43.401365,1000,203.433333
43.886833,1000,205.958969
50.268226,1000,206.887408
51.748291,1000,209.547487
45.34655,1000,210.469258
30.230516,1000,212.915632
44.177231,1000,213.991671
43.280988,1000,216.52163
47.252623,1000,217.560672
46.708262,1000,220.384744
41.759413,1000,221.342951
50.917026,1000,223.661005
40.883094,1000,224.769984
48.932266,1000,227.232703
44.659455,1000,228.259735
49.858354,1000,230.953623
51.489258,1000,231.934804
51.83073,1000,234.323126
48.21166,1000,235.37075
43.771263,1000,237.778895
50.887192,1000,238.760387
44.057327,1000,241.361774
50.82145,1000,242.424229
49.902799,1000,245.313066
46.599692,1000,246.563499
