#{"t_start": 1707304320.5731423, "env_id": "Swimmer-v4"}
r,l,t
-16.517784,1000,0.847038
-1.385374,1000,1.658238
15.39549,1000,2.385946
1.132773,1000,3.10851
3.339017,1000,3.93588
7.94816,1000,4.777412
9.635399,1000,5.544977
-0.985974,1000,6.329529
18.689144,1000,7.24609
17.085025,1000,8.110797
-4.81365,1000,8.93051
9.912101,1000,9.828441
-5.308994,1000,10.946201
7.097632,1000,11.829073
-1.632991,1000,12.739148
0.780809,1000,13.770737
4.185582,1000,15.928661
-7.840359,1000,17.528842
13.055717,1000,20.726719
13.62103,1000,22.149804
4.149352,1000,25.258126
16.930714,1000,26.808089
34.188785,1000,29.92739
19.128007,1000,31.579026
27.541482,1000,34.597466
13.775179,1000,36.199971
36.06464,1000,39.45687
20.451431,1000,41.051245
24.409014,1000,44.297769
34.888765,1000,46.227626
38.210172,1000,49.747561
24.805178,1000,51.340146
12.889078,1000,55.428112
17.271511,1000,57.320179
33.086967,1000,60.542763
27.337997,1000,62.230994
36.040551,1000,65.680306
27.621552,1000,67.615863
17.553005,1000,70.934832
22.366354,1000,72.888473
21.0303,1000,76.690703
