#{"t_start": 1707258203.717358, "env_id": "Swimmer-v4"}
r,l,t
-5.138178,1000,0.455693
13.126018,1000,0.902842
-16.382833,1000,1.349696
31.895012,1000,1.800548
9.21185,1000,2.25896
3.406391,1000,2.718536
-18.126953,1000,3.183704
-8.777346,1000,3.655279
5.663837,1000,4.136245
-27.492699,1000,4.62177
-8.328639,1000,5.116522
-4.2703,1000,5.62073
2.18814,1000,6.162914
0.520745,1000,6.729089
-8.303129,1000,7.306632
-7.868627,1000,7.892203
19.255282,1000,9.191858
-2.665737,1000,10.035379
17.872287,1000,11.658837
12.910705,1000,12.53565
9.021888,1000,14.306512
4.368406,1000,15.233571
20.756973,1000,16.961334
38.339438,1000,17.927701
13.215975,1000,19.694546
8.131166,1000,20.66857
29.571778,1000,22.454831
29.230647,1000,23.45776
11.187067,1000,25.286735
-6.826866,1000,26.317881
34.832896,1000,28.141107
26.512048,1000,29.196686
27.241419,1000,31.535537
-9.415432,1000,32.592751
13.587897,1000,34.455678
43.631411,1000,35.55137
30.819551,1000,37.445302
28.662526,1000,38.550613
22.828023,1000,40.48416
32.625073,1000,41.628151
24.162598,1000,43.621682
33.524955,1000,44.779907
5.689201,1000,46.806736
20.108786,1000,48.048989
15.100331,1000,50.055295
43.107689,1000,51.242565
36.295768,1000,53.264985
42.51426,1000,54.538673
48.792108,1000,57.379791
27.842277,1000,58.692027
14.99637,1000,60.814961
37.115206,1000,62.113892
42.511205,1000,64.323581
52.957463,1000,65.67198
48.899136,1000,67.850012
53.766804,1000,69.2688
37.809825,1000,71.6406
48.204575,1000,73.199414
49.188847,1000,74.689163
51.692419,1000,76.894934
55.32731,1000,78.415627
52.350785,1000,80.723882
43.486398,1000,82.118743
40.821829,1000,84.339545
40.819419,1000,85.788277
35.175383,1000,88.911298
45.132287,1000,90.405124
50.775137,1000,92.672243
43.979058,1000,94.124014
26.877291,1000,96.507322
41.371526,1000,97.98851
41.954993,1000,100.359222
41.664033,1000,101.853948
37.543905,1000,104.187618
41.072962,1000,105.761592
60.875188,1000,108.113317
39.705784,1000,109.710884
50.391627,1000,112.107598
38.30295,1000,113.685526
53.334133,1000,116.104732
53.644374,1000,117.695765
46.56936,1000,121.465838
41.555135,1000,123.103546
48.993658,1000,125.725604
44.572113,1000,127.403942
49.834807,1000,130.01643
46.366161,1000,131.718284
44.24641,1000,134.36313
40.013876,1000,136.114144
28.438226,1000,138.735382
32.837142,1000,140.510002
40.167363,1000,143.144374
39.004447,1000,144.918967
17.466483,1000,147.627218
22.135476,1000,149.393644
22.688724,1000,152.09675
35.430491,1000,153.882443
44.576843,1000,158.06049
36.901625,1000,159.865849
55.897908,1000,162.554421
45.420128,1000,164.383979
52.551277,1000,166.25098
52.810131,1000,169.045148
51.887522,1000,170.934496
52.157207,1000,173.726919
43.132227,1000,175.624945
44.078005,1000,178.417065
41.728187,1000,180.320746
45.271446,1000,183.134333
46.412739,1000,185.077598
45.106743,1000,187.91017
51.268697,1000,189.828433
46.578168,1000,192.691527
59.060337,1000,194.632006
35.214368,1000,199.184725
51.106349,1000,201.169414
