#{"t_start": 1707259591.6787066, "env_id": "Swimmer-v4"}
r,l,t
3.414874,1000,0.48739
25.793575,1000,0.981079
1.939769,1000,1.486201
-28.296195,1000,1.988558
-5.637324,1000,2.494224
4.238552,1000,2.996392
10.985487,1000,3.498271
13.41127,1000,3.999488
12.570069,1000,4.519408
-14.579273,1000,5.099314
-9.557187,1000,5.719981
7.491798,1000,6.349603
16.076668,1000,7.038495
-0.756484,1000,7.714292
-12.285778,1000,8.451634
3.244011,1000,9.274756
-11.728937,1000,11.083018
-8.27107,1000,12.245816
42.262271,1000,14.359676
-1.051384,1000,15.390033
19.194227,1000,17.588765
27.955287,1000,18.644188
36.253691,1000,20.779912
37.446298,1000,21.898279
17.68014,1000,24.035579
18.043114,1000,25.126134
5.157521,1000,27.323996
11.134736,1000,28.648048
22.572569,1000,31.302175
12.826791,1000,32.610174
20.440062,1000,35.078105
29.010311,1000,36.396192
12.815709,1000,39.260487
22.329732,1000,40.478866
2.072036,1000,42.837114
1.497232,1000,44.048929
13.917924,1000,46.251312
35.779133,1000,47.479122
27.361245,1000,49.675769
26.453609,1000,50.878
36.554278,1000,53.254775
6.576463,1000,54.648826
17.353777,1000,57.477708
50.311823,1000,58.944792
30.51744,1000,61.545928
50.451101,1000,62.876407
38.649211,1000,65.233318
32.326661,1000,66.647187
36.885003,1000,70.166377
32.179249,1000,71.624331
40.068776,1000,74.408608
36.603357,1000,75.824984
34.808569,1000,78.229683
39.049047,1000,79.713166
39.878769,1000,82.196574
32.790384,1000,83.635231
36.068136,1000,85.967636
36.492902,1000,87.432608
41.525165,1000,88.828876
37.428567,1000,91.258405
32.621126,1000,92.711876
31.310874,1000,95.166787
38.416989,1000,96.708148
45.537209,1000,99.483324
54.818941,1000,101.307283
60.200897,1000,105.74728
48.572582,1000,107.397383
51.099622,1000,110.208578
49.236842,1000,111.887737
42.580277,1000,114.572962
45.599742,1000,116.344478
39.425923,1000,119.051606
43.178576,1000,120.721892
32.614192,1000,123.448123
31.763078,1000,125.156537
41.994162,1000,128.290703
30.586441,1000,130.29478
33.245858,1000,133.465514
29.844116,1000,135.438533
30.42649,1000,138.542052
29.951167,1000,140.517042
30.926665,1000,145.517478
25.349297,1000,147.370586
35.13095,1000,150.195041
33.815056,1000,151.991442
29.389708,1000,154.981644
42.380683,1000,156.828532
29.415068,1000,159.918556
37.614016,1000,161.750697
36.281316,1000,164.742065
27.763844,1000,166.587805
43.966038,1000,169.486896
40.614942,1000,171.397971
37.72307,1000,174.4112
34.86201,1000,176.322866
40.131638,1000,179.470993
37.720335,1000,181.694225
37.016091,1000,187.293358
36.545647,1000,189.536373
37.028983,1000,192.769526
32.383439,1000,194.833942
29.464791,1000,196.837273
33.558659,1000,200.082808
32.834053,1000,202.117144
31.037202,1000,205.131471
37.489924,1000,207.10747
37.318862,1000,210.363132
34.586357,1000,212.583425
37.752403,1000,215.989775
40.934463,1000,218.331066
40.819049,1000,221.417298
41.99493,1000,223.449034
40.809464,1000,226.506315
44.388082,1000,228.518624
32.581915,1000,234.192819
34.77995,1000,236.325649
