#{"t_start": 1707317521.935739, "env_id": "MountainCarContinuous-v0"}
r,l,t
-52.58561,999,0.65339
-48.90036,999,1.238849
-50.96432,999,14.697369
-50.672557,999,27.821775
-49.129937,999,42.150609
-48.636446,999,55.382572
65.088571,668,65.387944
70.967618,563,73.016221
74.925443,469,79.301114
59.918513,794,91.384395
70.178023,587,99.628022
72.648204,540,107.036514
63.841047,710,117.510795
81.165301,376,122.624175
66.861181,666,131.627761
82.018195,353,136.412889
63.164565,723,147.116779
83.464938,337,151.648345
78.448783,401,157.043894
77.879141,418,163.024761
76.867299,471,169.331744
73.933911,491,176.957799
84.07383,322,181.220846
78.513995,448,187.207642
87.270079,217,190.089114
71.578222,534,197.259406
77.916216,417,203.861265
77.931262,443,209.748702
79.563143,386,214.945313
82.613874,329,219.30238
90.455846,166,221.50591
85.307854,272,225.127311
87.87163,219,228.057672
87.354542,231,232.645003
84.317076,261,236.356956
90.838618,185,238.834357
81.725851,355,243.563845
87.354848,215,246.438377
87.033517,219,249.480818
89.85188,188,252.025113
87.94935,220,255.043883
87.192708,239,258.28815
92.542297,153,261.624082
89.680978,196,264.27089
86.133779,253,267.696904
85.370876,262,271.280522
83.302421,305,275.421642
86.054254,257,278.887923
90.255544,195,281.564582
83.022546,335,286.093565
82.229469,330,292.045898
